Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
APPROVED,Not Applicable,2024-09-09T14:36:29.951000Z,2024-09-09T14:40:27.822000Z,2024-09-11T14:31:44.397000Z,2024-09-09T14:41:21.416283Z,238,C10OZW7Z,638,English,38,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-09-09T14:38:48.089000Z,2024-09-09T14:42:22.732000Z,2024-09-11T14:32:03.947000Z,2024-09-09T14:42:32.023341Z,215,C10OZW7Z,2904,English,55,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2024-09-09T14:38:33.956000Z,2024-09-09T14:42:16.274000Z,2024-09-11T14:29:52.951000Z,2024-09-09T14:42:29.787904Z,223,C10OZW7Z,6,English,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2024-09-09T14:39:25.946000Z,2024-09-09T14:53:19.581000Z,2024-09-11T14:30:03.720000Z,2024-09-09T14:56:11.377269Z,834,C10OZW7Z,1037,English,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
APPROVED,Not Applicable,2024-09-09T14:40:47.594000Z,2024-09-09T14:45:58.837000Z,2024-09-11T14:32:18.521000Z,2024-09-09T14:46:00.890844Z,312,C10OZW7Z,2106,English,29,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-09-09T14:33:56.766000Z,2024-09-09T14:40:21.149000Z,2024-09-11T14:31:34.367000Z,2024-09-09T14:41:16.060976Z,385,C10OZW7Z,269,"Greek, English",39,Male,White,Greece,Greece,Greece,Greek,No,Other
APPROVED,Not Applicable,2024-09-09T14:36:29.573000Z,2024-09-09T14:43:39.139000Z,2024-09-11T14:29:16.832000Z,2024-09-09T14:44:47.364343Z,430,C10OZW7Z,383,English,48,Female,White,Romania,United Kingdom,United Kingdom,Romanian,No,Full-Time
APPROVED,Not Applicable,2024-09-09T14:36:36.679000Z,2024-09-09T14:39:45.211000Z,2024-09-11T14:31:49.758000Z,2024-09-09T14:41:06.682231Z,189,C10OZW7Z,150,English,43,Male,White,Canada,Canada,Canada,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
APPROVED,Not Applicable,2024-09-09T14:39:08.216000Z,2024-09-09T14:41:26.616000Z,2024-09-11T14:30:01.136000Z,2024-09-09T14:41:42.581577Z,139,C10OZW7Z,477,English,24,Female,White,Canada,Canada,Canada,English,No,Full-Time
APPROVED,Not Applicable,2024-09-09T14:38:51.510000Z,2024-09-09T14:41:53.869000Z,2024-09-11T14:29:56.591000Z,2024-09-09T14:42:18.277340Z,183,C10OZW7Z,687,English,25,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-09-09T14:42:36.113000Z,2024-09-09T14:46:08.235000Z,2024-09-11T14:32:32.264000Z,2024-09-09T14:46:08.967647Z,213,C10OZW7Z,902,English,40,Male,White,United States,United States,United States,English,No,Full-Time
APPROVED,Not Applicable,2024-09-09T14:39:59.235000Z,2024-09-09T14:45:09.310000Z,2024-09-11T14:30:08.274000Z,2024-09-09T14:45:22.701532Z,311,C10OZW7Z,1774,English,60,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
APPROVED,Not Applicable,2024-09-09T14:37:32.638000Z,2024-09-09T14:40:37.899000Z,2024-09-11T14:29:38.756000Z,2024-09-09T14:41:33.220160Z,186,C10OZW7Z,1672,English,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
APPROVED,Not Applicable,2024-09-09T14:37:19.708000Z,2024-09-09T14:38:13.616000Z,2024-09-11T14:31:55.431000Z,2024-09-09T14:40:45.602026Z,54,C10OZW7Z,1931,English,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2024-09-09T14:38:30.774000Z,2024-09-09T14:42:05.322000Z,2024-09-11T14:32:02.458000Z,2024-09-09T14:42:24.485075Z,215,C10OZW7Z,157,English,27,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2024-09-09T14:40:13.383000Z,2024-09-09T14:45:20.383000Z,2024-09-11T14:32:12.893000Z,2024-09-09T14:45:27.275970Z,307,C10OZW7Z,1154,English,34,Male,White,Ireland,Ireland,Ireland,English,No,Full-Time
APPROVED,Not Applicable,2024-09-09T14:37:21.186000Z,2024-09-09T14:45:42.775000Z,2024-09-11T14:31:54.808000Z,2024-09-09T14:45:43.494877Z,502,C10OZW7Z,193,"English, Spanish, Galician",38,Male,White,Spain,Spain,Spain,Spanish,No,Part-Time
APPROVED,Not Applicable,2024-09-09T14:38:55.312000Z,2024-09-09T14:39:31.939000Z,2024-09-11T14:32:04.491000Z,2024-09-09T14:41:01.842334Z,37,C10OZW7Z,756,English,55,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2024-09-09T14:37:52.735000Z,2024-09-09T14:41:35.140000Z,2024-09-11T14:31:58.959000Z,2024-09-09T14:41:52.157856Z,223,C10OZW7Z,553,"English, Dutch, Spanish, Catalan",56,Male,White,Netherlands,Spain,Netherlands,Dutch,No,Other
APPROVED,Not Applicable,2024-09-09T14:37:22.452000Z,2024-09-09T14:39:43.037000Z,2024-09-11T14:31:52.346000Z,2024-09-09T14:41:04.450032Z,141,C10OZW7Z,1776,English,46,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2024-09-09T14:41:04.498000Z,2024-09-09T14:44:33.580000Z,2024-09-11T14:31:51.757000Z,2024-09-09T14:44:59.183723Z,210,C10OZW7Z,271,"English, Spanish",37,Male,White,United Kingdom,Chile,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2024-09-09T14:42:10.815000Z,2024-09-09T14:46:18.235000Z,2024-09-11T14:32:28.773000Z,2024-09-09T14:46:19.045356Z,248,C10OZW7Z,627,"English, Italian, Polish, Spanish, French",30,Male,White,Poland,Poland,Poland,English,Yes,Part-Time
APPROVED,Not Applicable,2024-09-09T14:42:38.220000Z,2024-09-09T14:43:34.637000Z,2024-09-11T14:32:32.869000Z,2024-09-09T14:44:43.143785Z,57,C10OZW7Z,110,English,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
APPROVED,Not Applicable,2024-09-09T14:37:49.151000Z,2024-09-09T14:40:40.310000Z,2024-09-11T14:29:44.549000Z,2024-09-09T14:41:20.448522Z,172,C10OZW7Z,1866,English,51,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time
APPROVED,Not Applicable,2024-09-09T14:32:28.141000Z,2024-09-09T14:43:52.668000Z,2024-09-11T14:31:26.474000Z,2024-09-09T14:44:50.921009Z,685,C10OZW7Z,465,"Spanish, Italian, English, Russian, Other",28,Male,Asian,Mongolia,Italy,Mongolia,Russian,No,Part-Time
APPROVED,Not Applicable,2024-09-09T14:38:47.542000Z,2024-09-09T14:42:13.488000Z,2024-09-11T14:29:55.329000Z,2024-09-09T14:42:28.138936Z,206,C10OZW7Z,952,"English, Italian",53,Female,White,Italy,Canada,Italy,Italian,No,Full-Time
APPROVED,Not Applicable,2024-09-09T14:37:51.032000Z,2024-09-09T14:42:14.842000Z,2024-09-11T14:31:58.680000Z,2024-09-09T14:42:28.508062Z,264,C10OZW7Z,1146,English,23,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2024-09-09T14:40:50.078000Z,2024-09-09T14:47:53.187000Z,2024-09-11T14:32:19.670000Z,2024-09-09T14:47:55.041278Z,424,C10OZW7Z,948,English,21,Male,Asian,Canada,Canada,Canada,English,No,DATA_EXPIRED
APPROVED,Not Applicable,2024-09-09T14:38:09.127000Z,2024-09-09T14:41:04.235000Z,2024-09-11T14:32:00.039000Z,2024-09-09T14:42:08.106141Z,176,C10OZW7Z,2511,English,42,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2024-09-09T14:34:41.655000Z,2024-09-09T14:35:09.582000Z,2024-09-11T14:29:02.557000Z,2024-09-09T14:35:11.973363Z,28,C10OZW7Z,345,English,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
APPROVED,Not Applicable,2024-09-09T14:33:56.177000Z,2024-09-09T14:40:41.183000Z,2024-09-11T14:31:34.652000Z,2024-09-09T14:41:20.390055Z,406,C10OZW7Z,54,"Italian, English",28,Male,White,Italy,Italy,Italy,Italian,No,DATA_EXPIRED
APPROVED,Not Applicable,2024-09-09T14:39:14.537000Z,2024-09-09T14:46:30.597000Z,2024-09-11T14:32:06.885000Z,2024-09-09T14:46:31.398346Z,437,C10OZW7Z,1471,English,75,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-09-09T14:42:37.247000Z,2024-09-09T14:45:06.057000Z,2024-09-11T14:32:31.631000Z,2024-09-09T14:45:22.053883Z,149,C10OZW7Z,433,English,38,Male,White,Canada,Canada,Canada,English,No,Full-Time
APPROVED,Not Applicable,2024-09-09T14:41:41.584000Z,2024-09-09T14:47:41.898000Z,2024-09-11T14:32:25.612000Z,2024-09-09T14:47:42.934244Z,361,C10OZW7Z,509,English,61,Male,White,Canada,Canada,Canada,English,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-09-09T14:40:02.183000Z,2024-09-09T14:44:17.499000Z,2024-09-11T14:30:09.036000Z,2024-09-09T14:44:55.850645Z,256,C10OZW7Z,1259,English,37,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2024-09-09T14:33:36.266000Z,2024-09-09T14:36:36.905000Z,2024-09-11T14:31:30.186000Z,2024-09-09T14:36:37.729113Z,181,C10OZW7Z,248,"Portuguese, English",38,Male,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-09-09T14:38:49.298000Z,2024-09-09T14:41:23.853000Z,2024-09-11T14:29:55.833000Z,2024-09-09T14:41:43.387346Z,155,C10OZW7Z,32,English,24,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2024-09-09T14:40:20.853000Z,2024-09-09T14:41:09.227000Z,2024-09-11T14:32:13.814000Z,2024-09-09T14:41:32.956839Z,49,C10OZW7Z,2743,English,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2024-09-09T14:36:27.997000Z,2024-09-09T14:41:56.412000Z,2024-09-11T14:31:47.018000Z,2024-09-09T14:42:19.926725Z,329,C10OZW7Z,426,"English, Greek",42,Male,White,Greece,Greece,Greece,Greek,No,Full-Time
APPROVED,Not Applicable,2024-09-09T14:40:49.553000Z,2024-09-09T14:42:56.675000Z,2024-09-11T14:32:18.792000Z,2024-09-09T14:43:50.515345Z,128,C10OZW7Z,1493,English,30,Male,Other,United States,Mexico,United States,English,No,Full-Time
APPROVED,Not Applicable,2024-09-09T14:34:40.389000Z,2024-09-09T14:40:57.159000Z,2024-09-11T14:31:40.094000Z,2024-09-09T14:41:28.896373Z,377,C10OZW7Z,788,"English, Portuguese, Spanish",43,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
APPROVED,Not Applicable,2024-09-09T14:42:55.816000Z,2024-09-09T14:46:23.035000Z,2024-09-11T14:32:35.556000Z,2024-09-09T14:46:24.695793Z,208,C10OZW7Z,1727,English,27,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Due to start a new job within the next month
APPROVED,Not Applicable,2024-09-09T14:40:30.308000Z,2024-09-09T14:44:57.500000Z,2024-09-11T14:32:16.521000Z,2024-09-09T14:45:14.921120Z,268,C10OZW7Z,671,"Dutch, English",24,Male,White,Netherlands,Netherlands,Netherlands,Dutch,No,Full-Time
APPROVED,Not Applicable,2024-09-09T14:36:50.155000Z,2024-09-09T14:38:46.780000Z,2024-09-11T14:31:51.175000Z,2024-09-09T14:40:51.005174Z,117,C10OZW7Z,1865,English,64,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
APPROVED,Not Applicable,2024-09-09T14:37:51.227000Z,2024-09-09T14:39:56.014000Z,2024-09-11T14:29:44.175000Z,2024-09-09T14:41:19.573972Z,125,C10OZW7Z,1209,English,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2024-09-09T14:36:36.181000Z,2024-09-09T14:39:54.975000Z,2024-09-11T14:31:50.204000Z,2024-09-09T14:41:09.496161Z,199,C10OZW7Z,965,"English, Punjabi",32,Male,Mixed,Canada,Canada,Canada,English,DATA_EXPIRED,Full-Time
APPROVED,Not Applicable,2024-09-09T14:34:54.834000Z,2024-09-09T14:36:07.349000Z,2024-09-11T14:29:04.078000Z,2024-09-09T14:36:09.264811Z,73,C10OZW7Z,898,English,57,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
APPROVED,Not Applicable,2024-09-09T14:47:10.074000Z,2024-09-09T14:47:46.631000Z,2024-09-11T14:30:10.240000Z,2024-09-09T14:47:47.513038Z,37,C10OZW7Z,690,English,26,Female,Black,Canada,Canada,Canada,English,No,Full-Time
APPROVED,Not Applicable,2024-09-09T14:34:54.157000Z,2024-09-09T14:39:52.226000Z,2024-09-11T14:31:41.698000Z,2024-09-09T14:41:07.883290Z,299,C10OZW7Z,816,English,47,Male,Asian,Pakistan,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
APPROVED,Not Applicable,2024-09-09T14:41:48.129000Z,2024-09-09T14:46:17.117000Z,2024-09-11T14:32:27.071000Z,2024-09-09T14:46:18.183849Z,269,C10OZW7Z,1802,English,30,Male,White,Canada,Canada,Canada,English,No,Part-Time
APPROVED,Not Applicable,2024-09-09T14:35:07.134000Z,2024-09-09T14:41:07.818000Z,2024-09-11T14:29:05.630000Z,2024-09-09T14:41:27.133862Z,361,C10OZW7Z,188,"Greek, English",23,Female,White,Greece,Greece,Greece,Greek,No,Full-Time
APPROVED,Not Applicable,2024-09-09T14:38:53.989000Z,2024-09-09T14:41:14.363000Z,2024-09-11T14:29:56.336000Z,2024-09-09T14:42:12.198591Z,141,C10OZW7Z,1039,English,32,Female,White,United States,United Kingdom,DATA_EXPIRED,English,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-09-09T14:31:20.892000Z,2024-09-09T14:31:55.186000Z,2024-09-11T14:31:25.366000Z,2024-09-09T14:33:40.012215Z,35,C10OZW7Z,172,"Polish, English",26,Male,White,Poland,Poland,Poland,Polish,No,Part-Time
APPROVED,Not Applicable,2024-09-09T14:36:08.249000Z,2024-09-09T14:39:43.597000Z,2024-09-11T14:31:47.340000Z,2024-09-09T14:41:04.043203Z,216,C10OZW7Z,383,"Dutch, English",22,Male,White,Netherlands,Netherlands,Netherlands,Dutch,Yes,Part-Time
APPROVED,Not Applicable,2024-09-09T14:38:38.550000Z,2024-09-09T14:42:09.700000Z,2024-09-11T14:29:54.290000Z,2024-09-09T14:42:26.687586Z,212,C10OZW7Z,3214,English,50,Female,White,United States,United States,United States,English,No,Full-Time
APPROVED,Not Applicable,2024-09-09T14:36:29.442000Z,2024-09-09T14:40:27.167000Z,2024-09-11T14:31:49.465000Z,2024-09-09T14:41:17.391716Z,238,C10OZW7Z,145,"Spanish, Portuguese, English",29,Male,White,Argentina,Portugal,Argentina,Spanish,No,Full-Time
APPROVED,Not Applicable,2024-09-09T14:34:25.391000Z,2024-09-09T14:37:12.207000Z,2024-09-11T14:29:01.610000Z,2024-09-09T14:37:27.596846Z,167,C10OZW7Z,1040,English,31,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
APPROVED,Not Applicable,2024-09-09T14:39:55.869000Z,2024-09-09T14:49:20.642000Z,2024-09-11T14:32:09.598000Z,2024-09-09T14:49:29.389953Z,565,C10OZW7Z,493,"Portuguese, English",24,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
APPROVED,Not Applicable,2024-09-09T14:49:51.105000Z,2024-09-09T14:53:07.326000Z,2024-09-11T14:32:38.700000Z,2024-09-09T14:55:56.076499Z,197,C10OZW7Z,1501,"Polish, English",37,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
APPROVED,Not Applicable,2024-09-09T14:40:52.259000Z,2024-09-09T14:44:34.083000Z,2024-09-11T14:32:19.087000Z,2024-09-09T14:44:59.118858Z,222,C10OZW7Z,151,"English, Portuguese",22,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
APPROVED,Not Applicable,2024-09-09T14:33:55.283000Z,2024-09-09T14:36:56.855000Z,2024-09-11T14:31:33.571000Z,2024-09-09T14:37:04.864361Z,182,C10OZW7Z,2261,"English, Spanish",27,Male,White,United States,United States,United States,Spanish,No,Full-Time
APPROVED,Not Applicable,2024-09-09T14:45:02.530000Z,2024-09-09T14:47:39.081000Z,2024-09-11T14:32:34.632000Z,2024-09-09T14:47:41.491555Z,157,C10OZW7Z,2161,English,62,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2024-09-09T14:32:18.990000Z,2024-09-09T14:34:54.078000Z,2024-09-11T14:31:26.100000Z,2024-09-09T14:34:55.606644Z,156,C10OZW7Z,72,"English, Polish",26,Male,White,Poland,Poland,Poland,Polish,Yes,Full-Time
APPROVED,Not Applicable,2024-09-09T14:39:10.586000Z,2024-09-09T14:43:05.978000Z,2024-09-11T14:29:58.655000Z,2024-09-09T14:44:03.005138Z,236,C10OZW7Z,470,English,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-09-09T14:31:45.297000Z,2024-09-09T14:35:41.225000Z,2024-09-11T14:31:25.787000Z,2024-09-09T14:35:42.685545Z,236,C10OZW7Z,314,English,22,Male,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-09-09T14:36:32.503000Z,2024-09-09T14:43:56.132000Z,2024-09-11T14:29:18.052000Z,2024-09-09T14:44:50.920352Z,444,C10OZW7Z,266,"Polish, English",22,Female,White,Poland,Poland,Poland,Polish,Yes,Other
APPROVED,Not Applicable,2024-09-09T14:34:53.249000Z,2024-09-09T14:39:15.776000Z,2024-09-11T14:29:02.933000Z,2024-09-09T14:40:58.831949Z,263,C10OZW7Z,450,English,54,Female,White,United States,United States,United States,English,No,Full-Time
APPROVED,Not Applicable,2024-09-09T14:40:37.464000Z,2024-09-09T14:44:03.897000Z,2024-09-11T14:32:16.886000Z,2024-09-09T14:44:51.354536Z,207,C10OZW7Z,223,"English, French",24,Male,White,France,France,France,English,Yes,Full-Time
APPROVED,Not Applicable,2024-09-09T14:39:00.160000Z,2024-09-09T14:51:09.591000Z,2024-09-11T14:29:57.359000Z,2024-09-09T14:54:05.865217Z,730,C10OZW7Z,262,English,37,Female,Black,South Africa,South Africa,South Africa,Other,No,Part-Time
APPROVED,Not Applicable,2024-09-09T14:35:27.706000Z,2024-09-09T14:44:06.765000Z,2024-09-11T14:29:09.435000Z,2024-09-09T14:44:52.345288Z,520,C10OZW7Z,2414,English,37,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-09-09T14:40:54.156000Z,2024-09-09T14:47:25.517000Z,2024-09-11T14:32:19.387000Z,2024-09-09T14:47:26.475795Z,392,C10OZW7Z,614,English,46,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-09-09T14:39:43.197000Z,2024-09-09T14:41:50.561000Z,2024-09-11T14:30:06.978000Z,2024-09-09T14:42:15.273050Z,128,C10OZW7Z,447,"Cantonese, English",21,Female,Asian,Canada,Canada,Canada,Chinese,Yes,Part-Time
APPROVED,Not Applicable,2024-09-09T14:34:33.221000Z,2024-09-09T14:37:49.773000Z,2024-09-11T14:29:02.133000Z,2024-09-09T14:40:37.362028Z,197,C10OZW7Z,455,English,47,Female,White,Australia,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2024-09-09T14:38:06.526000Z,2024-09-09T14:48:31.505000Z,2024-09-11T14:29:10.926000Z,2024-09-09T14:48:35.146078Z,625,C10OZW7Z,1043,English,26,Female,Black,Zimbabwe,South Africa,Zimbabwe,English,Yes,Full-Time
APPROVED,Not Applicable,2024-09-09T14:37:45.343000Z,2024-09-09T14:44:07.333000Z,2024-09-11T14:29:37.902000Z,2024-09-09T14:44:52.394161Z,382,C10OZW7Z,46,"German, Polish, English",23,Female,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-09-09T14:36:36.962000Z,2024-09-09T14:41:08.234000Z,2024-09-11T14:29:12.270000Z,2024-09-09T14:41:28.389701Z,272,C10OZW7Z,90,English,39,Female,White,Canada,Canada,Canada,English,No,Full-Time
APPROVED,Not Applicable,2024-09-09T14:33:22.070000Z,2024-09-09T14:34:41.280000Z,2024-09-11T14:31:29.700000Z,2024-09-09T14:34:43.196284Z,80,C10OZW7Z,41,English,30,Male,Mixed,South Africa,South Africa,South Africa,English,No,Full-Time
APPROVED,Not Applicable,2024-09-09T14:37:13.514000Z,2024-09-09T14:39:51.486000Z,2024-09-11T14:31:54.477000Z,2024-09-09T14:41:07.486807Z,158,C10OZW7Z,934,English,35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
